Godot Engine v4.6.2.stable.official.71f334935 - https://godotengine.org

runtime_mountain_raster_walk_probe: start density=0.60
runtime_mountain_raster_walk_probe: route_size=7
STREAMING_STEP_TIMING total=9.35ms {"drain_packets":0.022,"drain_pages":0.009,"enqueue":6.969,"evict":0.129,"player_chunk":0.014,"prune":1.421,"publish":0.5,"queue_pages":0.27,"spawn":0.002,"wrap":0.007}
[FrameBudget] streaming=5.2ms topology=0.0ms visual=0.0ms spawn=0.0ms total=5.2ms/6.0ms world.streaming_v0=5.2ms(60)
STREAMING_STEP_TIMING total=18.44ms {"drain_packets":0.018,"drain_pages":0.007,"enqueue":16.648,"evict":0.111,"player_chunk":0.021,"prune":0.979,"publish":0.432,"queue_pages":0.208,"spawn":0.002,"wrap":0.008}
STREAMING_STEP_TIMING total=38.09ms {"drain_packets":0.015,"drain_pages":0.204,"enqueue":36.713,"evict":0.099,"player_chunk":0.019,"prune":0.427,"publish":0.407,"queue_pages":0.189,"spawn":0.002,"wrap":0.012}
STREAMING_STEP_TIMING total=26.40ms {"drain_packets":0.016,"drain_pages":0.009,"enqueue":24.859,"evict":0.118,"player_chunk":0.029,"prune":0.594,"publish":0.526,"queue_pages":0.228,"spawn":0.002,"wrap":0.012}
STREAMING_STEP_TIMING total=23.28ms {"drain_packets":0.014,"drain_pages":0.007,"enqueue":22.099,"evict":0.101,"player_chunk":0.022,"prune":0.392,"publish":0.417,"queue_pages":0.201,"spawn":0.005,"wrap":0.017}
STREAMING_STEP_TIMING total=19.16ms {"drain_packets":0.014,"drain_pages":0.008,"enqueue":17.291,"evict":0.112,"player_chunk":0.015,"prune":0.432,"publish":0.443,"queue_pages":0.838,"spawn":0.002,"wrap":0.007}
STREAMING_STEP_TIMING total=11.95ms {"drain_packets":0.006,"drain_pages":0.156,"enqueue":0.731,"evict":0.106,"player_chunk":0.014,"prune":0.404,"publish":10.377,"queue_pages":0.142,"spawn":0.002,"wrap":0.008}
STREAMING_STEP_TIMING total=11.28ms {"drain_packets":0.009,"drain_pages":0.006,"enqueue":0.598,"evict":0.119,"player_chunk":0.02,"prune":0.335,"publish":10.042,"queue_pages":0.138,"spawn":0.002,"wrap":0.012}
STREAMING_STEP_TIMING total=8.93ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.578,"evict":0.093,"player_chunk":0.018,"prune":0.332,"publish":7.74,"queue_pages":0.135,"spawn":0.003,"wrap":0.012}
STREAMING_STEP_TIMING total=11.70ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.589,"evict":0.098,"player_chunk":0.017,"prune":0.314,"publish":10.529,"queue_pages":0.13,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=8.85ms {"drain_packets":0.006,"drain_pages":0.136,"enqueue":0.587,"evict":0.098,"player_chunk":0.015,"prune":0.32,"publish":7.561,"queue_pages":0.118,"spawn":0.002,"wrap":0.008}
STREAMING_STEP_TIMING total=11.36ms {"drain_packets":0.01,"drain_pages":0.006,"enqueue":0.638,"evict":0.091,"player_chunk":0.015,"prune":0.33,"publish":10.128,"queue_pages":0.129,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=8.34ms {"drain_packets":0.007,"drain_pages":0.004,"enqueue":0.537,"evict":0.196,"player_chunk":0.02,"prune":0.254,"publish":7.143,"queue_pages":0.156,"spawn":0.004,"wrap":0.013}
STREAMING_STEP_TIMING total=7.29ms {"drain_packets":0.008,"drain_pages":0.005,"enqueue":0.486,"evict":0.117,"player_chunk":0.018,"prune":0.254,"publish":6.265,"queue_pages":0.125,"spawn":0.002,"wrap":0.006}
STREAMING_STEP_TIMING total=10.66ms {"drain_packets":0.007,"drain_pages":0.004,"enqueue":0.508,"evict":0.104,"player_chunk":0.014,"prune":0.255,"publish":9.643,"queue_pages":0.11,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=9.34ms {"drain_packets":0.006,"drain_pages":0.005,"enqueue":0.482,"evict":0.169,"player_chunk":0.015,"prune":0.264,"publish":8.258,"queue_pages":0.126,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=14.82ms {"drain_packets":0.012,"drain_pages":0.007,"enqueue":0.764,"evict":0.111,"player_chunk":0.023,"prune":0.414,"publish":13.295,"queue_pages":0.172,"spawn":0.003,"wrap":0.015}
STREAMING_STEP_TIMING total=8.14ms {"drain_packets":0.016,"drain_pages":0.008,"enqueue":0.75,"evict":0.122,"player_chunk":0.02,"prune":0.472,"publish":6.602,"queue_pages":0.137,"spawn":0.002,"wrap":0.011}
STREAMING_STEP_TIMING total=11.02ms {"drain_packets":0.007,"drain_pages":0.004,"enqueue":0.487,"evict":0.13,"player_chunk":0.015,"prune":0.242,"publish":10.008,"queue_pages":0.11,"spawn":0.002,"wrap":0.009}
STREAMING_STEP_TIMING total=7.51ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.478,"evict":0.116,"player_chunk":0.019,"prune":0.235,"publish":6.522,"queue_pages":0.118,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=11.31ms {"drain_packets":0.005,"drain_pages":0.004,"enqueue":0.481,"evict":0.125,"player_chunk":0.011,"prune":0.237,"publish":10.329,"queue_pages":0.109,"spawn":0.002,"wrap":0.007}
STREAMING_STEP_TIMING total=7.62ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.487,"evict":0.121,"player_chunk":0.015,"prune":0.235,"publish":6.622,"queue_pages":0.12,"spawn":0.001,"wrap":0.008}
STREAMING_STEP_TIMING total=11.23ms {"drain_packets":0.004,"drain_pages":0.004,"enqueue":0.474,"evict":0.13,"player_chunk":0.011,"prune":0.231,"publish":10.26,"queue_pages":0.109,"spawn":0.002,"wrap":0.006}
STREAMING_STEP_TIMING total=9.36ms {"drain_packets":0.007,"drain_pages":0.005,"enqueue":0.483,"evict":0.149,"player_chunk":0.017,"prune":0.229,"publish":8.34,"queue_pages":0.12,"spawn":0.003,"wrap":0.006}
STREAMING_STEP_TIMING total=12.96ms {"drain_packets":0.006,"drain_pages":0.005,"enqueue":0.484,"evict":0.148,"player_chunk":0.014,"prune":0.231,"publish":11.949,"queue_pages":0.108,"spawn":0.002,"wrap":0.01}
STREAMING_STEP_TIMING total=10.94ms {"drain_packets":0.011,"drain_pages":0.007,"enqueue":0.741,"evict":0.143,"player_chunk":0.025,"prune":0.367,"publish":9.453,"queue_pages":0.166,"spawn":0.003,"wrap":0.017}
